"id","disease","municipalitycode","wgs84e","wgs84n","bedatestart","begzstart","bedateend","begzend","vodatestart","vogzstart","vodateend","vogzend","annotation"
"360","American foulbrood of honey bees","62143","15.66","47.63","2014-06-03","18.21 7-2013/34","2014-08-14","18.21 7-2013/34","2014-06-03","18.21 7-2013/34","2014-08-14","18.21 7-2013/34",NULL
"361","American foulbrood of honey bees","62143","15.69","47.59","2009-09-15","18.2-29/2009","2010-07-16","18.2-29/2009","2009-09-15","18.2-29/2009","2010-07-19","18.2-29/2009",NULL
"362","American foulbrood of honey bees","61222","14.23","47.54","2010-07-19","18.2-27/99","2012-07-19","not available",NULL,NULL,NULL,NULL,NULL
"363","American foulbrood of honey bees","61440","14.36","47.17","2010-06-01","8.2-139/2010","2010-10-08","8.2-139/2010","2010-06-02","8.2-139/2010","2010-10-08","8.2-139/2010",NULL
"364","American foulbrood of honey bees","62105","15.52","47.40","2010-05-21","not available","2010-07-21","not available","2010-05-21","18.2B1/R1-2010/8","2010-07-21","not available",NULL
"365","American foulbrood of honey bees","62105","15.46","47.39","2010-05-10","not available","2010-07-10","not available","2010-05-10","18.2B1/P1-2010/9","2010-07-10","not available",NULL
"366","American foulbrood of honey bees","61701","15.73","47.16","2009-11-20","8-212/2009","2010-09-13","8-212/2009",NULL,NULL,NULL,NULL,NULL
"367","American foulbrood of honey bees","62388","15.75","46.83","2009-08-10","18.2.B2-2006-38","2009-10-14","18.2.B2-2006-38","2009-08-12","18.2.B2/2006-33","2009-10-14","not available",NULL
"368","American foulbrood of honey bees","62041","14.84","47.21","2019-08-14","BHMT-84974/2019-",NULL,NULL,"2019-08-14","BHMT-84974/2019-6","2020-08-14","not available",NULL
"369","American foulbrood of honey bees","62388","15.74","46.83","2009-08-25","not available","2009-10-14","18.2.B2-2006-37","2009-08-25","18.2.B2/2006-34","2009-10-14","not available",NULL
"370","American foulbrood of honey bees","61410","14.45","47.03","2014-06-13","8.2-30/2014, 8.2-31/2014, 8.2-32/2014, 8.2-33/2014","2016-09-02","BHMU-6479/2016-3","2014-06-13","8.2-30/2014, 8.2-31/2014, 8.2-32/2014, 8.2-33/2014","2016-09-02","BHMU-6479/2016-4",NULL
"371","American foulbrood of honey bees","61012","15.58","46.82","2022-04-20","not available","2022-06-30","not available","2022-04-20","BHLB-390399/2022-5","2022-06-30","BHLB-390399/2022-16",NULL
"372","American foulbrood of honey bees","60101","15.42","47.08","2014-06-23","A7VET-032886/2014-6","2014-10-30","A7VET-32886/2014-108","2014-06-23","A7VET-032886/2014-14","2014-10-30","not available",NULL
"373","American foulbrood of honey bees","62389","15.69","46.90","2014-07-11","BHSO-18.23-1/2014-15","2014-10-07","BHSO-18.23-4/2014-13","2014-07-11","BHSO-18.23-1/2014-14","2014-10-07","BHSO-18.23-4/2014-14",NULL
"374","American foulbrood of honey bees","60645","15.42","47.24","2014-07-09","18.2B7/Pe1/1-2014","2014-10-17","18.2B7/Pe1/3-2014","2014-07-09","18.2B7/Pe1/1-2014","2014-10-17","18.2B7/Pe1/3-2014",NULL
"375","American foulbrood of honey bees","60664","15.29","47.14","2022-06-15","BHGU-494798/2022-6",NULL,NULL,"2022-06-15","BHGU-494798/2022-9",NULL,NULL,NULL
"376","American foulbrood of honey bees","61258","14.75","47.60","2014-09-16","not available","2015-07-28","18.2-1/2014","2014-09-16","18.2 B 18-2014/15","2015-07-28","not available",NULL
"377","American foulbrood of honey bees","61258","14.75","47.60","2014-09-22","18.2 B 18-2014/4","2015-07-28","18.2-1/2014","2014-09-22","18.2 B 18-2014/5","2015-07-28","not available",NULL
"378","American foulbrood of honey bees","62145","15.47","47.54","2014-09-16","18.21 7/2013/59","2014-12-01","18.21 7/2013/59","2014-09-16","18.21 7-2013/59","2014-11-26","18.21 7-2013/59",NULL
"379","American foulbrood of honey bees","62141","15.45","47.54","2014-08-04","18.21 7-2013/58","2014-10-10","18.21 7-2013/58","2014-08-05","18.21 7-2013/58","2014-10-10","18.21 7-2013/58",NULL
"380","American foulbrood of honey bees","61258","14.75","47.61","2014-10-16","18.2 B 19-2014/4","2015-07-28","18.2-1/2014","2014-10-24","18.2 B 19-2014/5","2015-07-28","not available",NULL
"381","American foulbrood of honey bees","60351","15.20","46.74","2014-10-22","8.2 M 11/2014","2015-05-12","8.2 M 11/2014","2014-10-22","8.2 M 11/2014","2015-05-12","8.2 M 11/2014",NULL
"382","American foulbrood of honey bees","62140","15.31","47.46","2015-04-29","18.21 7-2013/70","2015-07-14","18.21 7-2013/70","2015-04-29","18.21 7-2013/70","2015-07-14","18.21 7-2013/70",NULL
"383","American foulbrood of honey bees","62141","15.42","47.47","2015-05-08","18.21 7-2013/71","2015-07-20","18.21 7-2013/71","2015-05-08","18.21 7-2013/71","2015-07-20","18.21 7-2013/71",NULL
"384","American foulbrood of honey bees","62141","15.41","47.47","2015-05-18","18.21 7-2013/73","2015-09-23","18.21 7-2013/73","2015-05-18","18.21 7-2013/73","2015-09-23","18.21 7-2013/73",NULL
"385","American foulbrood of honey bees","62380","15.76","46.90","2015-05-18","BHSO-18.23-5/2015-3","2015-08-07","BHSO-18.23-5/2015-7","2015-05-15","BHSO-18.23-5/2015-4","2015-08-07","BHSO-18.23-5/2015-8",NULL
"386","American foulbrood of honey bees","61120","15.02","47.43","2015-05-18","18.2 B 17-2015/6","2015-09-30","18.2 B 17-2015/10","2015-05-18","18.2 B 17-2015/7","2015-09-30","18.2 B 17-2015/9",NULL
"387","American foulbrood of honey bees","60663","15.31","47.27","2015-06-16","18.2B7/Sta1/1-2015","2015-11-11","18.2B7/Sta1/3-2015","2015-06-16","18.2B7/Sta1/1-2015","2015-11-11","18.2B7/Sta1/3-2015",NULL
"388","American foulbrood of honey bees","60101","15.44","47.03","2015-06-19","not available","2015-09-14","not available","2015-06-19","A7Vet-103100/2015/0017","2015-09-14","not available",NULL
"389","American foulbrood of honey bees","61443","14.33","47.11","2015-06-16","8.2-16/2015","2016-06-07","not available","2015-06-16","8.2-16/2015","2016-06-07","BHMU-6321/2016-4",NULL
"390","American foulbrood of honey bees","61106","14.94","47.41","2015-07-24","18.2 B19-2015/7","2016-09-15","BHLN-163308/2016-2","2015-07-20","18.2 B19-2015/6","2016-09-15","BHLN-163308/2016-3",NULL
"391","American foulbrood of honey bees","61106","14.94","47.41","2015-07-24","18.2 B18-2015/7","2016-09-15","BHLN-163308/2016-2","2015-07-20","18.2 B18-2015/6","2016-09-15","BHLN-163308/2016-3",NULL
"392","American foulbrood of honey bees","62116","15.57","47.60","2015-08-10","18.21 7-2013/89","2016-04-21","18.21 7-2013/89","2015-08-10","18.21 7-2013/89","2016-04-21","18.21 7-2013/89",NULL
"393","American foulbrood of honey bees","62146","15.37","47.46","2015-08-24","18.21 7-2013/93","2016-04-22","18.21 7-2013/93","2015-08-24","18.21 7-2013/93","2016-04-22","18.21 7-2013/93",NULL
"394","American foulbrood of honey bees","62128","15.35","47.49","2015-08-24","18.21 7-2013/91","2016-04-22","18.21 7-2013/93","2015-08-24","18.21 7-2013/91","2016-04-22","18.21 7-2013/93",NULL
"395","American foulbrood of honey bees","61625","15.13","47.05","2015-09-27","8.2-15/2015",NULL,NULL,"2015-09-27","8.2-15/2015","2016-04-15","BHVO-96138/2016-2",NULL
"396","American foulbrood of honey bees","61115","14.97","47.32","2015-09-14","18.2 B20/4-2015/7","2016-06-15","BHLN-49033/2016-1","2015-09-14","18.2 B20-2015/3","2016-06-17","BHLN-49033/2016-2",NULL
"397","American foulbrood of honey bees","62145","15.51","47.53","2015-10-05","not available","2016-07-01","18.21 7-2013/96","2015-10-05","18.21 7-2013/96","2016-07-01","18.21 7-2013/96",NULL
"398","American foulbrood of honey bees","61267","14.08","47.53","2013-05-13","not available","2015-09-30","18.2-1/2014",NULL,NULL,NULL,NULL,NULL
"399","American foulbrood of honey bees","61255","13.88","47.57","2021-09-14","BHLI-270059/2021-5","2022-07-12","BHLI-270059/2021-23",NULL,NULL,NULL,NULL,NULL
"400","American foulbrood of honey bees","61441","14.06","47.17","2016-04-14","BHMU-111065/2016-4","2019-10-22","BHMU-111065/2016-10","2016-04-14","BHMU-111065/2016-5","2019-10-22","BHMU-111065/2016-11",NULL
"401","American foulbrood of honey bees","61107","14.94","47.32","2016-04-13","BHLN-111320/2016-4","2016-06-15","BHLN-111320/2016-6","2016-04-14","BHLN-111320/2016-5","2016-06-17","BHLN-111320/2016-7",NULL
"402","American foulbrood of honey bees","62380","15.85","46.85","2016-04-21","BHSO-114090/2016-2","2016-11-09","BHSO-114090/2016-8","2016-04-21","BHSO-114090/2016-3",NULL,NULL,NULL
"403","American foulbrood of honey bees","61615","15.28","46.97","2016-05-04","BHVO-116512/2016-2",NULL,NULL,"2016-05-04","BHVO-116512/2016-4","2016-08-12","BHVO-116512/2016-10",NULL
"404","American foulbrood of honey bees","62143","15.67","47.61","2016-05-09","BHBM-62978/2016-7",NULL,NULL,"2016-05-10","BHBM-112298/2016-5","2016-09-05","BHBM-112298/2016-14",NULL
"405","American foulbrood of honey bees","61745","15.57","47.35","2016-05-06","BHWZ-116878/2016-4","2016-09-20","BHWZ-116878/2016-13","2016-05-09","BHWZ-116878/2016-5",NULL,NULL,NULL
"406","American foulbrood of honey bees","61745","15.58","47.33","2016-05-17","BHWZ-123642/2016-4","2016-09-20","BHWZ-123642/2016-11",NULL,NULL,NULL,NULL,NULL
"407","American foulbrood of honey bees","61745","15.57","47.33","2016-05-17","BHWZ-123646/2016-4","2016-09-20","BHWZ-123646/2016-11",NULL,NULL,NULL,NULL,NULL
"408","American foulbrood of honey bees","61257","14.04","47.49","2016-05-25","BHLI-13822/2016-5","2017-07-31","BHLI-13822/2016-5",NULL,NULL,NULL,NULL,NULL
"409","American foulbrood of honey bees","61222","14.21","47.54","2016-05-25","BHLI-13822/2016-3","2017-04-18","BHLI-13822/2016-14",NULL,NULL,NULL,NULL,NULL
"410","American foulbrood of honey bees","60101","15.49","47.11","2016-05-23","not available","2016-07-29","not available","2016-05-23","A7Vet-036902/2016/0016",NULL,NULL,NULL
"411","American foulbrood of honey bees","60608","15.46","46.99","2016-06-07","BHGU-127891/2016-2","2016-10-20","BHGU-127891/2016-11","2016-06-05","BHGU-127891/2016-3","2016-10-20","BHGU-127891/2006-12",NULL
"412","American foulbrood of honey bees","62143","15.66","47.59","2016-06-10","BHBM-129467/2016-2",NULL,NULL,"2016-06-09","BHBM-129467/2016-3","2016-09-29","BHBM-129467/2016-12",NULL
"413","American foulbrood of honey bees","62143","15.67","47.59","2016-06-10","BHBM-129437/2016-2","2016-09-29","BHBM-129437/2016-10","2016-06-09","BHBM-129437/2016-3","2016-09-29","BHBM-129437/2016-11",NULL
"414","American foulbrood of honey bees","62143","15.64","47.60","2016-06-10","BHBM-128697/2016-2",NULL,NULL,"2016-06-08","BHBM-128697/2016-2","2016-09-29","not available",NULL
"415","American foulbrood of honey bees","61615","15.30","46.96","2016-06-10","BHVO-129826/2016-2","2017-03-29","BHVO-129826/2016-7","2016-06-10","BHVO-129826/2016-3","2017-03-29","BHVO-129826/2016-6",NULL
"416","American foulbrood of honey bees","61615","15.28","46.97","2016-06-10","BHVO-129827/2016-2","2016-08-10","not available","2016-06-10","BHVO-129827/2016-3","2016-08-10","BHVO-129827/2016-6",NULL
"417","American foulbrood of honey bees","61442","14.09","47.10","2016-06-10","BHMU-129370/2016-6","2016-08-25","BHMU-129370/2016-10","2016-06-13","BHMU-129370/2016-7","2016-08-25","BHMU-129370/2016-11",NULL
"418","American foulbrood of honey bees","61115","14.97","47.32","2016-06-15","BHLN-131061/2016-4","2016-07-18","BHLN-131061/2016-7","2016-06-17","BHLN-131061/2016-5","2016-07-17","BHLN-131061/2016-8",NULL
"419","American foulbrood of honey bees","62380","15.83","46.87","2016-07-06","BHSO-137049/2016-2","2016-11-09","BHSO-137049/2016-11	","2016-07-06","BHSO-137049/2016-3",NULL,NULL,NULL
"420","American foulbrood of honey bees","61628","15.21","47.08","2016-08-18","BHVO-146308/2016-2","2017-04-06","BHVO-146308/2016-8","2016-08-18","BHVO-146308/2016-4","2017-04-06","BHVO-146308/2016-9",NULL
"421","American foulbrood of honey bees","61628","15.20","47.08","2016-09-01","BHVO-159330/2016-2","2017-04-06","BHVO-159330/2016-5","2016-09-01","BHVO-159330/2016-3","2017-04-06","BHVO-159330/2016-6",NULL
"422","American foulbrood of honey bees","61628","15.21","47.07","2016-09-01","BHVO-159332/2016-2","2017-04-06","BHVO-159332/2016-5","2016-09-01","BHVO-159332/2016-3","2017-04-06","BHVO-159332/2016-6",NULL
"423","American foulbrood of honey bees","60647","15.22","47.11","2017-04-06","BHGU-29252/2017-5","2017-06-21","BHGU-29252/2017-18","2017-04-06","BHGU-29252/2017-6","2017-06-21","BHGU-29252/2017-17",NULL
"424","American foulbrood of honey bees","61113","15.06","47.31","2017-05-08","BHLN-38555/2017-6","2017-11-07","BHLN-38555/2017-10","2017-05-08","BHLN-38555/2017-8","2017-11-07","BHLN-38555/2017-12",NULL
"425","American foulbrood of honey bees","60654","15.45","47.14","2017-05-22","BHGU-41173/2017-4","2017-08-29","BHGU-41173/2017-11","2017-05-22","BHGU-41173/2017-5","2017-08-30","BHGU-41173/2017-10",NULL
"426","American foulbrood of honey bees","60623","15.53","47.11","2017-05-22","BHGU-41150/2017-4","2017-08-29","BHGU-41150/2017-10","2017-05-22","BHGU-41150/2017-5","2017-08-29","BHGU-41150/2017-9",NULL
"427","American foulbrood of honey bees","61443","14.30","47.07","2017-06-02","BHMU-44429/2017-8","2018-05-29","not available",NULL,NULL,NULL,NULL,NULL
"428","American foulbrood of honey bees","61438","14.15","47.14","2017-06-09","BHMU-43704/2017-14","2018-05-29","BHMU-43704/2017-16","2017-06-02","BHMU-43704/2017-9",NULL,NULL,NULL
"429","American foulbrood of honey bees","61256","14.56","47.49","2018-09-14","BHLI-28447/2016-98","2018-09-14","BHLI-28447/2016-98",NULL,NULL,NULL,NULL,NULL
"430","American foulbrood of honey bees","61425","14.17","47.19","2017-06-16","BHMU-48737/2017-9","2019-06-25","BHMU-48737/2017-24","2017-06-16","BHMU-48737/2017-11",NULL,NULL,NULL
"431","American foulbrood of honey bees","61445","14.01","47.09","2017-06-16","BHMU-48735/2017-7","2018-05-29","BHMU-48735/2017-12","2017-06-16","BHMU-48735/2017-8","2018-05-29","BHMU-48735/2017-13",NULL
"432","American foulbrood of honey bees","61437","14.01","47.19","2017-06-23","BHMU-46284/2017-6","2019-10-22","BHMU-46284/2017-12","2017-06-23","BHMU-46284/2017","2019-10-22","BHMUI-43284/2017-12",NULL
"433","American foulbrood of honey bees","61750","15.72","47.44","2017-09-25","BHWZ-124285/2017-5","2017-10-17","BHWZ-124285/2017-28",NULL,NULL,NULL,NULL,NULL
"434","American foulbrood of honey bees","61750","15.72","47.44","2017-10-05","BHWZ-128105/2017-5","2017-10-17","BHWZ-128105/2017-14",NULL,NULL,NULL,NULL,NULL
"435","American foulbrood of honey bees","62386","15.97","46.97","2018-02-13","BHSO-19282/2018-4","2018-04-25","BHSO-19282/2018-11","2018-02-13","BHSO-19282/2018-5","2018-04-25","not available",NULL
"436","American foulbrood of honey bees","61439","14.39","47.10","2018-04-26","BHMU-42489/2018-6","2018-07-06","BHMU-42489/2018-11","2018-04-25","BHMU-42489/2018-7","2018-07-06","BHMU-42489/2018-12",NULL
"437","American foulbrood of honey bees","60101","15.40","47.10","2018-05-07","A7Vet-036505/2018-12","2018-06-20","not available","2018-05-07","not available","2018-06-20","not available",NULL
"438","American foulbrood of honey bees","61746","15.78","47.06","2018-05-08","BHWZ-46411/2018-3","2018-07-09","BHWZ-46411/2018-31",NULL,NULL,NULL,NULL,NULL
"439","American foulbrood of honey bees","62145","15.49","47.58","2018-07-12","BHBM-67296/2018-3","2018-09-27","BHBM-67296/2018-8","2018-07-12","BHBM-67296/2018-3","2018-10-01","BHBM-67296/2018-10",NULL
"440","American foulbrood of honey bees","62145","15.51","47.62","2018-07-30","BHBM-65055/2018-4","2018-09-27","BHBM-65055/2018-10","2018-07-25","BHBM-65055/2018-5","2018-09-27","BHBM-65055/2018-11",NULL
"441","American foulbrood of honey bees","62145","15.49","47.59","2018-08-02","BHBM-72353/2018-2","2018-09-27","BHBM-72353/2018-6","2018-08-09","BHBM-72353/2018-3","2018-09-27","not available",NULL
"442","American foulbrood of honey bees","62145","15.48","47.58","2018-08-03","BHBM-72389/2018-2","2018-09-27","BHBM-72389/2018-6","2018-07-28","BHBM-72389/2018-3","2018-09-27","not available",NULL
"443","American foulbrood of honey bees","62145","15.48","47.58","2018-08-03","BHBM-72386/2018-2","2018-09-27","BHBM-72386/2018-6","2018-07-25","BHBM-72386/2018-3","2018-09-27","BHBM-72386/2018-7",NULL
"444","American foulbrood of honey bees","62145","15.46","47.59","2018-08-03","BHBM-72361/2018-3","2018-09-27","BHBM-72361/2018-6","2018-08-09","BHBM-72361/2018-3","2018-09-27","not available",NULL
"445","American foulbrood of honey bees","61054","15.46","46.62","2018-10-25","BHLB-94346/2018-7","2019-04-30","BHLB-94346/2018-28","2018-10-25","BHLB-94346/2018-13","2019-03-18","BHLB-94346/2018-13",NULL
"446","American foulbrood of honey bees","60345","15.24","46.66","2018-11-29","BHDL-103937/2018-8","2019-04-30","BHDL-103937/2018-28","2018-11-29","BHDL-103937/2018-11","2019-04-30","BHDL-103937/2018-27",NULL
"447","American foulbrood of honey bees","61439","14.44","47.07","2019-04-19","BHMU-56122/2019-6","2020-07-10","BHMU-56122/2019-10","2019-04-19","BHMU-56122/2019-7",NULL,NULL,NULL
"448","American foulbrood of honey bees","62132","15.52","47.47","2019-05-09","not available","2019-07-19","BHBM-59500/2019-12","2019-05-09","BHBM-59500/2019-5","2019-07-18","BHBM-59500/2019-13",NULL
"449","American foulbrood of honey bees","61054","15.46","46.64","2019-05-20","not available","2019-08-28","not available","2019-05-20","BHLB-58993/2019-4","2019-08-28","BHLB-58993/2019-25",NULL
"450","American foulbrood of honey bees","60101","15.48","47.06","2019-05-17","not available","2020-05-06","not available","2019-05-17","GZ:.A7Vet-045244/2019","2020-05-06","GZ:.A7Vet-045244/2019/0023",NULL
"451","American foulbrood of honey bees","60101","15.50","47.06","2019-07-17","not available","2020-05-06","not available","2019-07-17","A7Vet-58172/2019/0017","2020-05-06","A7Vet-58172/2019/0045",NULL
"452","American foulbrood of honey bees","62008","14.71","47.26","2019-08-14","BHMT-84979/2019-6",NULL,NULL,"2019-08-14","BHMT-84979/2019-7","2020-08-14","not available",NULL
"453","American foulbrood of honey bees","61054","15.46","46.64","2019-05-20","not available","2019-08-28","not available","2019-05-20","BHLB-58993/2019-4","2019-08-28","BHLB-58993/2019-25",NULL
"454","American foulbrood of honey bees","61261","13.99","47.47","2022-04-15","BHLI-374888/2022-3",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"455","American foulbrood of honey bees","61262","13.99","47.46","2022-05-13","BHLI-441009/2022-3",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"456","American foulbrood of honey bees","61266","13.94","47.39","2022-05-13","BHLI-450071/2022-10",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"457","American foulbrood of honey bees","61262","14.03","47.49","2022-05-13","BHLI-450078/2022-5",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"458","American foulbrood of honey bees","61262","13.99","47.45","2022-05-13","BHLI-450379/2022-5",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"459","American foulbrood of honey bees","61261","13.97","47.49","2022-05-31","BHLI-482737/2022-3",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"460","American foulbrood of honey bees","61261","13.98","47.46","2022-05-31","BHLI-482750/2022-3",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"461","American foulbrood of honey bees","61262","13.99","47.46","2022-05-31","BHLI-482759/2022-3",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"462","American foulbrood of honey bees","61107","14.94","47.31","2021-10-05","BHLN-287548/2021-2",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"463","American foulbrood of honey bees","61438","14.17","47.13","2021-04-20","BHMU-146276/2021-3","2021-07-16","BHMU-146276/2021-10","2021-04-20","BHMU-146276/2021-3","2022-07-05","BHMU-146276/2021-22",NULL
"464","American foulbrood of honey bees","61439","14.44","47.05","2021-04-20","BHMU-146201/2021-3",NULL,NULL,"2021-04-20","BHMU-146201/2021-5","2022-07-22","BHMU-146201/2021-11",NULL
"465","American foulbrood of honey bees","61410","14.55","47.03","2021-05-11","BHMU-176094/2021-3","2022-07-22","BHMU-176094/2021-11","2021-05-11","BHMU-176094/2021-5","2022-07-22","BHMU-176094/2021-11",NULL
"466","American foulbrood of honey bees","61439","14.54","47.09","2021-08-30","BHMU-261864/2021-2","2022-04-20","not available","2021-08-30","BHMU-261864/2021-3","2022-04-20","BHMU-261864/2021-6",NULL
"467","American foulbrood of honey bees","61262","14.00","47.45","2022-05-20","BHLI-468609/2022-3",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"469","American foulbrood of honey bees","60664","15.30","47.14","2022-07-05","BHGU-546145/2022-3",NULL,NULL,"2022-07-12","BHGU-546145/2022-5",NULL,NULL,NULL
