"id","year","month","disease","animalspecies","datestart","dateend","country","nuts","postcode","unit","value","annotation","sourceid"
"514","2014","6","European foulbrood of honey bees","1341976","2014-06-05","2014-08-06","BEL","BE32A","7973","number","1",NULL,"78"
"515","2014","6","European foulbrood of honey bees","1341976","2014-06-16","2014-08-11","BEL","BE323","7601","number","1",NULL,"78"
"516","2014","9","European foulbrood of honey bees","1341976","2014-09-03","2015-04-23","BEL","BE221","3500","number","1",NULL,"78"
"517","2017","6","European foulbrood of honey bees","1341976","2017-06-20","2017-08-08","BEL","BE232","9255","number","1",NULL,"78"
"518","2019","5","European foulbrood of honey bees","1341976","2019-05-06","2021-09-17","BEL","BE328","7604","number","1",NULL,"78"
"519","2019","6","European foulbrood of honey bees","1341976","2019-06-03","2021-09-17","BEL","BE328","7601","number","1",NULL,"78"
"520","2019","6","European foulbrood of honey bees","1341976","2019-06-21","2021-09-17","BEL","BE32A","7812","number","1",NULL,"78"
"521","2019","7","European foulbrood of honey bees","1341976","2019-07-01","2021-09-17","BEL","BE328","7522","number","1",NULL,"78"
"522","2019","7","European foulbrood of honey bees","1341976","2019-07-09","2019-08-13","BEL","BE323","7330","number","1",NULL,"78"
"523","2019","7","European foulbrood of honey bees","1341976","2019-07-17","2021-09-17","BEL","BE32A","7812","number","1",NULL,"78"
"524","2019","9","European foulbrood of honey bees","1341976","2019-09-09","2021-09-17","BEL","BE32A","7812","number","1",NULL,"78"
"525","2019","9","European foulbrood of honey bees","1341976","2019-09-17","2020-07-28","BEL","BE328","7608","number","1",NULL,"78"
"526","2019","9","European foulbrood of honey bees","1341976","2019-09-23","2021-09-17","BEL","BE328","7608","number","1",NULL,"78"
"527","2019","9","European foulbrood of honey bees","1341976","2019-09-23","2020-07-16","BEL","BE323","7387","number","1",NULL,"78"
"528","2019","11","European foulbrood of honey bees","1341976","2019-11-04","2021-09-17","BEL","BE32B","6220","number","1",NULL,"78"
"529","2020","5","European foulbrood of honey bees","1341976","2020-05-04","2021-09-17","BEL","BE323","7050","number","1",NULL,"78"
"530","2020","5","European foulbrood of honey bees","1341976","2020-05-18","2021-11-26","BEL","BE322","6280","number","1",NULL,"78"
"531","2020","5","European foulbrood of honey bees","1341976","2020-05-18","2022-11-26","BEL","BE32B","6280","number","1",NULL,"78"
"532","2020","5","European foulbrood of honey bees","1341976","2020-05-18","2021-11-26","BEL","BE353","5621","number","1",NULL,"78"
"533","2020","5","European foulbrood of honey bees","1341976","2020-05-18","2021-11-26","BEL","BE353","5621","number","1",NULL,"78"
"534","2020","5","European foulbrood of honey bees","1341976","2020-05-18","2020-07-28","BEL","BE328","7608","number","1",NULL,"78"
"535","2020","6","European foulbrood of honey bees","1341976","2020-06-12","2022-06-30","BEL","BE32B","6180","number","1",NULL,"78"
"536","2020","6","European foulbrood of honey bees","1341976","2020-06-12","2022-06-30","BEL","BE32B","6180","number","1",NULL,"78"
"537","2020","6","European foulbrood of honey bees","1341976","2020-06-15","2022-06-30","BEL","BE322","6141","number","1",NULL,"78"
"538","2020","6","European foulbrood of honey bees","1341976","2020-06-15","2022-06-30","BEL","BE322","6141","number","1",NULL,"78"
"539","2020","7","European foulbrood of honey bees","1341976","2020-07-01","2021-09-17","BEL","BE325","7061","number","1",NULL,"78"
"540","2020","7","European foulbrood of honey bees","1341976","2020-07-01","2021-09-17","BEL","BE323","7050","number","1",NULL,"78"
"541","2020","7","European foulbrood of honey bees","1341976","2020-07-01","2021-09-17","BEL","BE323","7050","number","1",NULL,"78"
"542","2020","7","European foulbrood of honey bees","1341976","2020-07-06","2021-09-17","BEL","BE325","7061","number","1",NULL,"78"
"543","2020","7","European foulbrood of honey bees","1341976","2020-07-14","2021-08-02","BEL","BE352","5140","number","1",NULL,"78"
"544","2020","8","European foulbrood of honey bees","1341976","2020-08-24","2021-09-17","BEL","BE325","7061","number","1",NULL,"79"
"545","2021","8","European foulbrood of honey bees","1341976","2021-08-30","2021-11-26","BEL","BE322","6280","number","1",NULL,"79"
"546","2022","8","European foulbrood of honey bees","1341976","2022-08-12",NULL,"BEL","BE322","6280","number","1",NULL,"79"
"547","2022","8","European foulbrood of honey bees","1341976","2022-08-16",NULL,"BEL","BE321","7880","number","1",NULL,"79"
"548","2022","8","European foulbrood of honey bees","1341976","2022-08-30",NULL,"BEL","BE322","6280","number","1",NULL,"79"
"549","2006",NULL,"American foulbrood of honey bees","1341976",NULL,NULL,"BEL","BE",NULL,"number","3",NULL,"78"
"550","2007",NULL,"American foulbrood of honey bees","1341976",NULL,NULL,"BEL","BE",NULL,"number","5",NULL,"78"
"551","2008",NULL,"American foulbrood of honey bees","1341976",NULL,NULL,"BEL","BE",NULL,"number","1",NULL,"78"
"552","2009",NULL,"American foulbrood of honey bees","1341976",NULL,NULL,"BEL","BE",NULL,"number","4",NULL,"78"
"553","2010",NULL,"American foulbrood of honey bees","1341976",NULL,NULL,"BEL","BE",NULL,"number","0",NULL,"78"
"554","2011",NULL,"American foulbrood of honey bees","1341976",NULL,NULL,"BEL","BE",NULL,"number","0",NULL,"78"
"555","2012",NULL,"American foulbrood of honey bees","1341976",NULL,NULL,"BEL","BE",NULL,"number","0",NULL,"78"
"556","2013",NULL,"American foulbrood of honey bees","1341976",NULL,NULL,"BEL","BE",NULL,"number","2",NULL,"78"
"557","2014",NULL,"American foulbrood of honey bees","1341976",NULL,NULL,"BEL","BE",NULL,"number","36",NULL,"78"
"558","2015",NULL,"American foulbrood of honey bees","1341976",NULL,NULL,"BEL","BE",NULL,"number","16",NULL,"78"
"559","2016",NULL,"American foulbrood of honey bees","1341976",NULL,NULL,"BEL","BE",NULL,"number","6",NULL,"78"
"560","2017",NULL,"American foulbrood of honey bees","1341976",NULL,NULL,"BEL","BE",NULL,"number","3",NULL,"78"
"561","2018","5","American foulbrood of honey bees","1341976","2018-05-23","2018-07-12","BEL","BE211","2030","number","1",NULL,"78"
"562","2018","5","American foulbrood of honey bees","1341976","2018-05-23","2018-09-14","BEL","BE241","1549","number","1",NULL,"78"
"563","2018","5","American foulbrood of honey bees","1341976","2018-05-31","2018-08-02","BEL","BE323","7332","number","1",NULL,"78"
"564","2018","5","American foulbrood of honey bees","1341976","2018-05-31","2018-08-02","BEL","BE323","7050","number","1",NULL,"78"
"565","2018","6","American foulbrood of honey bees","1341976","2018-06-11","2018-07-12","BEL","BE211","2030","number","1",NULL,"78"
"566","2018","7","American foulbrood of honey bees","1341976","2018-07-02","2018-08-02","BEL","BE323","7332","number","1",NULL,"78"
"567","2018","7","American foulbrood of honey bees","1341976","2018-07-11","2018-08-02","BEL","BE323","7332","number","1",NULL,"78"
"568","2018","7","American foulbrood of honey bees","1341976","2018-07-23","2018-09-14","BEL","BE241","1670","number","1",NULL,"78"
"569","2018","8","American foulbrood of honey bees","1341976","2018-08-07","2018-10-17","BEL","BE342","6637","number","1",NULL,"78"
"570","2018","8","American foulbrood of honey bees","1341976","2018-08-09","2018-10-17","BEL","BE341","6700","number","1",NULL,"78"
"571","2018","9","American foulbrood of honey bees","1341976","2018-09-03","2019-04-29","BEL","BE241","1880","number","1",NULL,"78"
"572","2018","9","American foulbrood of honey bees","1341976","2018-09-11","2018-10-17","BEL","BE342","6637","number","1",NULL,"78"
"573","2018","9","American foulbrood of honey bees","1341976","2018-09-14","2019-10-10","BEL","BE323","7300","number","1",NULL,"78"
"574","2018","11","American foulbrood of honey bees","1341976","2018-11-14","2019-04-29","BEL","BE241","1880","number","1",NULL,"78"
"575","2019","5","American foulbrood of honey bees","1341976","2019-05-20","2019-08-13","BEL","BE323","7332","number","1",NULL,"78"
"576","2019","5","American foulbrood of honey bees","1341976","2019-05-23","2019-08-13","BEL","BE323","7332","number","1",NULL,"78"
"577","2019","5","American foulbrood of honey bees","1341976","2019-05-24","2019-08-13","BEL","BE323","7332","number","1",NULL,"78"
"578","2019","6","American foulbrood of honey bees","1341976","2019-06-27","2019-08-29","BEL","BE341","6700","number","1",NULL,"78"
"579","2019","7","American foulbrood of honey bees","1341976","2019-07-01","2020-04-28","BEL","BE341","6780","number","1",NULL,"78"
"580","2019","7","American foulbrood of honey bees","1341976","2019-07-08","2020-04-28","BEL","BE341","6700","number","1",NULL,"78"
"581","2019","7","American foulbrood of honey bees","1341976","2019-07-09","2020-04-28","BEL","BE342","6637","number","1",NULL,"78"
"582","2019","7","American foulbrood of honey bees","1341976","2019-07-16","2019-08-29","BEL","BE341","6700","number","1",NULL,"78"
"583","2019","9","American foulbrood of honey bees","1341976","2019-09-03","2020-05-06","BEL","BE345","6810","number","1",NULL,"78"
"584","2019","9","American foulbrood of honey bees","1341976","2019-09-16","2020-05-06","BEL","BE345","6810","number","1",NULL,"78"
"585","2020","4","American foulbrood of honey bees","1341976","2020-04-08","2020-05-06","BEL","BE345","6810","number","1",NULL,"78"
"586","2020","4","American foulbrood of honey bees","1341976","2020-04-20","2020-05-06","BEL","BE345","6810","number","1",NULL,"78"
"587","2020","6","American foulbrood of honey bees","1341976","2020-06-15","2021-11-26","BEL","BE353","5621","number","1",NULL,"78"
"588","2020","6","American foulbrood of honey bees","1341976","2020-06-16","2020-09-08","BEL","BE345","6810","number","1",NULL,"78"
"589","2020","7","American foulbrood of honey bees","1341976","2020-07-10","2021-11-26","BEL","BE32B","6280","number","1",NULL,"78"
"590","2020","7","American foulbrood of honey bees","1341976","2020-07-28","2021-11-26","BEL","BE32B","6280","number","1",NULL,"78"
"591","2020","7","American foulbrood of honey bees","1341976","2020-07-30","2021-11-26","BEL","BE32B","6280","number","1",NULL,"78"
"592","2021","5","American foulbrood of honey bees","1341976","2021-05-10","2021-07-29","BEL","BE352","5081","number","1",NULL,"79"
"593","2021","6","American foulbrood of honey bees","1341976","2021-06-14","2021-07-23","BEL","BE236","9160","number","1",NULL,"79"
"594","2021","7","American foulbrood of honey bees","1341976","2021-07-27","2021-09-02","BEL","BE241","1785","number","1",NULL,"79"
"595","2021","8","American foulbrood of honey bees","1341976","2021-08-18","2022-06-30","BEL","BE32B","6180","number","1",NULL,"79"
"596","2022","6","American foulbrood of honey bees","1341976","2022-06-28","2022-08-05","BEL","BE351","5555","number","1",NULL,"79"
"597","2022","7","American foulbrood of honey bees","1341976","2022-07-14","2022-08-05","BEL","BE351","5555","number","1",NULL,"79"
